The ship dont have suficient energy to support all containers, Generators output: 50000.000000, Energy Needed: 210530.718750, Missing Energy: 160530.718750 
The ship dont have suficient energy to support all containers, Generators output: 50000.000000, Energy Needed: 268831.531250, Missing Energy: 218831.531250 
